[NPM1]_WT,[NPM1]_Halo,[NPM1]_FAST,Gamma1,Gamma2,GVR
0.0,0.0,1.0,0.25,0.125,
0.0,0.0,1.0,0.5,0.125,
0.0,0.0,1.0,0.5,0.25,
0.0,0.0,1.0,1.0,0.125,
0.0,0.0,1.0,1.0,0.25,
0.0,0.0,1.0,1.0,0.5,
0.0,0.0,1.0,2.0,0.125,
0.0,0.0,1.0,2.0,0.25,
0.0,0.0,1.0,2.0,0.5,
0.0,0.0,1.0,2.0,1.0,
0.0,0.0,1.0,4.0,0.125,
0.0,0.0,1.0,4.0,0.25,
0.0,0.0,1.0,4.0,0.5,
0.0,0.0,1.0,4.0,1.0,
0.0,0.0,1.0,4.0,2.0,
0.0,0.05,0.95,0.25,0.125,3.563
0.0,0.05,0.95,0.5,0.125,5.938
0.0,0.05,0.95,0.5,0.25,7.125
0.0,0.05,0.95,1.0,0.125,10.688
0.0,0.05,0.95,1.0,0.25,11.875
0.0,0.05,0.95,1.0,0.5,14.25
0.0,0.05,0.95,2.0,0.125,20.188
0.0,0.05,0.95,2.0,0.25,21.375
0.0,0.05,0.95,2.0,0.5,23.75
0.0,0.05,0.95,2.0,1.0,28.5
0.0,0.05,0.95,4.0,0.125,39.188
0.0,0.05,0.95,4.0,0.25,40.375
0.0,0.05,0.95,4.0,0.5,42.75
0.0,0.05,0.95,4.0,1.0,47.5
0.0,0.05,0.95,4.0,2.0,57.0
0.0,0.1,0.9,0.25,0.125,3.375
0.0,0.1,0.9,0.5,0.125,5.625
0.0,0.1,0.9,0.5,0.25,6.75
0.0,0.1,0.9,1.0,0.125,10.125
0.0,0.1,0.9,1.0,0.25,11.25
0.0,0.1,0.9,1.0,0.5,13.5
0.0,0.1,0.9,2.0,0.125,19.125
0.0,0.1,0.9,2.0,0.25,20.25
0.0,0.1,0.9,2.0,0.5,22.5
0.0,0.1,0.9,2.0,1.0,27.0
0.0,0.1,0.9,4.0,0.125,37.125
0.0,0.1,0.9,4.0,0.25,38.25
0.0,0.1,0.9,4.0,0.5,40.5
0.0,0.1,0.9,4.0,1.0,45.0
0.0,0.1,0.9,4.0,2.0,54.0
0.0,0.15,0.85,0.25,0.125,3.188
0.0,0.15,0.85,0.5,0.125,5.313
