[NPM1]_WT_median,[NPM1]_Halo_median,[NPM1]_FAST_median,Gamma1,Gamma2,GVR_median,GVR_std
0.0,0.0,1.0,0.25,0.125,3.536,0.151
0.0,0.0,1.0,0.5,0.125,5.894,0.251
0.0,0.0,1.0,1.0,0.125,10.608,0.452
0.0,0.0,1.0,1.0,0.5,14.145,0.603
0.0,0.0,1.0,2.0,0.125,20.038,0.854
0.0,0.0,1.0,2.0,0.5,23.574,1.004
0.0,0.0,1.0,2.0,1.0,28.289,1.205
0.0,0.0,1.0,4.0,0.125,38.898,1.657
0.0,0.0,1.0,4.0,0.5,42.434,1.808
0.0,0.0,1.0,4.0,1.0,47.149,2.009
0.0,0.0,1.0,4.0,2.0,56.578,2.41
0.0,0.05,0.95,0.25,0.125,3.502,0.154
0.0,0.05,0.95,0.5,0.125,5.837,0.257
0.0,0.05,0.95,1.0,0.125,10.506,0.462
0.0,0.05,0.95,1.0,0.5,14.008,0.616
0.0,0.05,0.95,2.0,0.125,19.844,0.873
0.0,0.05,0.95,2.0,0.5,23.346,1.027
0.0,0.05,0.95,2.0,1.0,28.015,1.233
0.0,0.05,0.95,4.0,0.125,38.521,1.695
0.0,0.05,0.95,4.0,0.5,42.023,1.849
0.0,0.05,0.95,4.0,1.0,46.692,2.055
0.0,0.05,0.95,4.0,2.0,56.031,2.466
0.0,0.1,0.9,0.25,0.125,3.275,0.178
0.0,0.1,0.9,0.5,0.125,5.458,0.297
0.0,0.1,0.9,1.0,0.125,9.824,0.534
0.0,0.1,0.9,1.0,0.5,13.099,0.713
0.0,0.1,0.9,2.0,0.125,18.556,1.009
0.0,0.1,0.9,2.0,0.5,21.831,1.188
0.0,0.1,0.9,2.0,1.0,26.197,1.425
0.0,0.1,0.9,4.0,0.125,36.021,1.96
0.0,0.1,0.9,4.0,0.5,39.296,2.138
0.0,0.1,0.9,4.0,1.0,43.662,2.375
0.0,0.1,0.9,4.0,2.0,52.394,2.85
0.0,0.15,0.85,0.25,0.125,3.105,0.172
0.0,0.15,0.85,0.5,0.125,5.174,0.287
0.0,0.15,0.85,1.0,0.125,9.314,0.517
0.0,0.15,0.85,1.0,0.5,12.418,0.689
0.0,0.15,0.85,2.0,0.125,17.593,0.976
0.0,0.15,0.85,2.0,0.5,20.697,1.149
0.0,0.15,0.85,2.0,1.0,24.837,1.378
0.0,0.15,0.85,4.0,0.125,34.151,1.895
0.0,0.15,0.85,4.0,0.5,37.255,2.068
0.0,0.15,0.85,4.0,1.0,41.395,2.297
0.0,0.15,0.85,4.0,2.0,49.674,2.757
0.0,0.2,0.8,0.25,0.125,2.946,0.171
0.0,0.2,0.8,0.5,0.125,4.91,0.284
0.0,0.2,0.8,1.0,0.125,8.837,0.512
0.0,0.2,0.8,1.0,0.5,11.783,0.682
0.0,0.2,0.8,2.0,0.125,16.692,0.966
