[NPM1]_WT,[NPM1]_Halo,[NPM1]_NFAST,[NPM1]_CFAST,Gamma,GVR
0.0,0.0,0.0,1.0,0.25,
0.0,0.0,0.0,1.0,0.5,
0.0,0.0,0.0,1.0,1.0,
0.0,0.0,0.0,1.0,2.0,
0.0,0.0,0.0,1.0,4.0,
0.0,0.0,0.05,0.95,0.25,
0.0,0.0,0.05,0.95,0.5,
0.0,0.0,0.05,0.95,1.0,
0.0,0.0,0.05,0.95,2.0,
0.0,0.0,0.05,0.95,4.0,
0.0,0.0,0.1,0.9,0.25,
0.0,0.0,0.1,0.9,0.5,
0.0,0.0,0.1,0.9,1.0,
0.0,0.0,0.1,0.9,2.0,
0.0,0.0,0.1,0.9,4.0,
0.0,0.0,0.15,0.85,0.25,
0.0,0.0,0.15,0.85,0.5,
0.0,0.0,0.15,0.85,1.0,
0.0,0.0,0.15,0.85,2.0,
0.0,0.0,0.15,0.85,4.0,
0.0,0.0,0.2,0.8,0.25,
0.0,0.0,0.2,0.8,0.5,
0.0,0.0,0.2,0.8,1.0,
0.0,0.0,0.2,0.8,2.0,
0.0,0.0,0.2,0.8,4.0,
0.0,0.0,0.25,0.75,0.25,
0.0,0.0,0.25,0.75,0.5,
0.0,0.0,0.25,0.75,1.0,
0.0,0.0,0.25,0.75,2.0,
0.0,0.0,0.25,0.75,4.0,
0.0,0.0,0.3,0.7,0.25,
0.0,0.0,0.3,0.7,0.5,
0.0,0.0,0.3,0.7,1.0,
0.0,0.0,0.3,0.7,2.0,
0.0,0.0,0.3,0.7,4.0,
0.0,0.0,0.35,0.65,0.25,
0.0,0.0,0.35,0.65,0.5,
0.0,0.0,0.35,0.65,1.0,
0.0,0.0,0.35,0.65,2.0,
0.0,0.0,0.35,0.65,4.0,
0.0,0.0,0.4,0.6,0.25,
0.0,0.0,0.4,0.6,0.5,
0.0,0.0,0.4,0.6,1.0,
0.0,0.0,0.4,0.6,2.0,
0.0,0.0,0.4,0.6,4.0,
0.0,0.0,0.45,0.55,0.25,
0.0,0.0,0.45,0.55,0.5,
0.0,0.0,0.45,0.55,1.0,
0.0,0.0,0.45,0.55,2.0,
0.0,0.0,0.45,0.55,4.0,
